"General","General"
"Enable for Cart Price Rule","Enable for Cart Price Rule"
"Enable for Free Shipping method","Enable for Free Shipping method"
"Free Shipping Bar","Free Shipping Bar"
"Free shipping on your purchase!","Free shipping on your purchase!"
"Only simple rules are supported - single condition with ""Subtotal equals or greater than"" amount, and free shipping ""For shipment with matching items""","Only simple rules are supported - single condition with ""Subtotal equals or greater than"" amount, and free shipping ""For shipment with matching items""",
"You have %1 to free shipping!","You have %1 to free shipping!"
